mnemonic,no,description,product,event_type,event_category,clean_primary,primary_subset,metric_id,metric_name,pillar,source_system,source_table,date_field,grain,code_ref,code_status,discovery_status,next_action
TFP,22,TFSA and RRSP grow with PAC,Investments,Conversion,Product Usage,PAC Start,min payment TBD,INV_PAC_001,PAC Start,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic — also clarify min payment rule
RMG,32,GIC Maturity,Investments,Engagement,Product Open,GIC Renewal,,INV_RNW_001,GIC Renewal,Engagement,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
IDE,15,Invest and Trade Online,Investments,Conversion,Product Open,Investment Open,Direct Investing or InvestEase,INV_DI_001,Direct Investing Open,Conversion,EDW,dl_mr_prod.NBO_IDE_Acquisition,"COALESCE(DI_DT_OPEN, IE_DT_OPEN)",Client,,active,complete,none — ready for engineering
GNE,31,Explore & Continue GIC Journey,Investments,Engagement,Product Open,Investment Open,All GIC >$0,INV_GIC_001,GIC Open,Conversion,EDW,dl_mr_prod.NBO_GIC_Acquisition,dt_open,Client,,active,complete,none — shares INV_GIC_001 with GIS
MOS,38,Investment Advice Connection,Investments,Engagement,Product Usage,Positive Long-Term Net Sales,,INV_NTS_001,Long-Term Net Sales,Engagement,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
RAT,39,Explore Education Savings,Investments,Acquisition,Product Open,Investment Open,RESP,INV_RSP_001,RESP Open,Conversion,EDW,DG6V01.ARNGMNT_OWN_HIST + ARNGMNT_HIST,DT_OPENED,Client,,active,complete,none — ready for engineering
NMI,23,NOMI Find & Save,Digital Footprint,Conversion,Product Open,NOMI Open,,DF_NMI_001,NOMI Enrollment,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
IRI,35,International Remittance,Payments,Engagement,Product Action,International Money Transfer,IMT Transaction,PAY_IMT_001,IMT Transaction,Engagement,EDW,DDWV01.EXT_CDS_CHNL_EVNT,CAPTR_DT,Client,,active,complete,none — ready for engineering
IPC,42,International Money Transfer Winback,Payments,Engagement,Product Retention,International Money Transfer,IMT Transaction,PAY_IMT_001,IMT Transaction,Engagement,,,,,,not_created,pending_sas_search,shares PAY_IMT_001 with IRI
EBR,28,PBA Value Program,Value Program,Conversion,Product Open,Value Program Enrollment,,VP_ENR_001,Value Program Enrollment,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
PVE,37,Value Program Enrollment,Value Program,Engagement,Product Open,Product Cross-Sell,,VP_ENR_001,Value Program Enrollment,Conversion,,,,,,not_created,pending_sas_search,shares VP_ENR_001 with EBR
ZRR,12,Client Relationship Retention,Client,Attrition,Product Open,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
VSX,26,Value Ecosystem Engagement,Client,Engagement,Product Usage,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
